crop,moisture,Temperature,pump,id,temperature,pressure,altitude,soilmiosture,note,status,class,date,time,Unnamed: 0,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,parcel_0,parcel_1,parcel_2,CropType,CropDays,SoilMoisture,Humidity,Irrigation,Hour,Day,Month,Year,DateTime,DayOfWeek,Season,PumpVoltage,PumpCurrent,IrrigationDuration,Energy_Consumption
0,638,16,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,522,18,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,741,22,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,798,32,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,690,28,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,558,23,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,578,12,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,673,35,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,642,45,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,723,11,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,671,23,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,758,34,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,507,45,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,586,33,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,703,45,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,716,25,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,724,11,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,828,41,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,633,23,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,783,18,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,635,36,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,525,33,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,636,24,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,813,15,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,736,44,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,833,13,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,808,29,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,714,14,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,806,28,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,681,31,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,661,35,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,546,32,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,759,10,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,803,21,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,670,22,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,796,21,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,665,32,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,687,11,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,573,13,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,812,38,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,698,45,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,675,39,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,700,38,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,749,38,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,537,44,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,748,27,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
0,824,37,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,411.3912176,39.38123752,,,,,,,,Autumn,220,5,30,550
